Test_ID,Batch_ID,Product,Production_Line,Test_Date,Month_Year,Analyst,TPC_cfu_g,TPC_Limit,TPC_Result,YM_cfu_g,YM_Limit,YM_Result,Coliform_MPN_g,Coliform_Limit,Coliform_Result,Overall_Status,Reviewed_By
MCR-0011,BCH-2022-0011,Roasted Corn,Line E,2022-01-18 00:00:00,Jan-2022,Anand M.,,10000,PASS,270.0,500,PASS,2.9,10,PASS,PASSS,Divya N.
MCR-0012,BCH-2022-0012,  Chickpea Snacks ,Line F,2022-01-20 00:00:00,Jan-2022,Meena R.,2441.0,10000,PASS,470.0,500,PASS,19.2,10,FAIL,FAIL,Karthik V.
MCR-0013,BCH-2022-0013,Banana Chips,Line A,2022-01-27 00:00:00,Jan-2022,Karthik V.,7095.0,10000,PASS,26.0,500,PASS,0.2,10,PASS,PASS,Meena R.
MCR-0014,BCH-2022-0014,Sweet Potato Chips,Line B,2022-01-28 00:00:00,Jan-2022,Divya N.,6584.0,10000,PASS,123.0,500,PASS,7.2,10,PASS,PASS,Suresh B.
MCR-0015,BCH-2022-0015,Masala Peanuts,Line C,2022-01-29 00:00:00,Jan-2022,Suresh B.,75051.0,10000,FAIL,,500,PASS,2.5,10,PASS,FAIL,Ramesh K.
MCR-0016,BCH-2022-0016,Tapioca Crisps,Line D,2022-01-30 00:00:00,Jan-2022,Leena D.,1372.0,10000,PASS,375.0,500,PASS,27.0,10,FAIL,FAIL,Priya S.
MCR-0017,BCH-2022-0017,Jackfruit Chips,Line E,2022-01-31 00:00:00,Jan-2022,Sagar A.,799.0,10000,PASS,372.0,500,PASS,,10,PASS,PASS,Anand M.
MCR-0018,BCH-2022-0018,Okra Chips,Line F,2022-02-02 00:00:00,Feb-2022,Priya S.,8271.0,10000,PASS,278.0,500,PASS,0.7,10,PASS,PASS,Sagar A.
MCR-0019,BCH-2022-0019,Roasted Corn,Line A,2022-02-03 00:00:00,Feb-2022,Anand M.,1630.0,10000,PASS,333.0,500,PASS,3.2,10,PASS,PASSS,Divya N.
MCR-0020,BCH-2022-0020,Chickpea Snacks,Line B,2022-02-04 00:00:00,Feb-2022,Meena R.,7385.0,10000,PASS,340.0,500,PASS,1.4,10,PASS,PASS,Karthik V.
MCR-0021,BCH-2022-0021,Banana Chips,Line C,2022-02-06 00:00:00,Feb-2022,Karthik V.,2051.0,10000,PASS,305.0,500,PASS,2.7,10,PASS,P ASS,Meena R.
MCR-0022,BCH-2022-0022,Sweet Potato Chips,Line D,2022-02-13 00:00:00,Feb-2022,Divya N.,423.0,10000,PASS,379.0,500,PASS,1.0,10,PASS,PASS,Suresh B.
MCR-0023,BCH-2022-0023,Masala Peanuts,Line E,2022-02-18 00:00:00,Feb-2022,Suresh B.,253.0,10000,PASS,222.0,500,PASS,3.6,10,PASS,PASS,Ramesh K.
MCR-0024,BCH-2022-0024,Tapioca Crisps,Line F,2022-02-19 00:00:00,Feb-2022,Leena D.,665.0,10000,PASS,,500,PASS,4.3,10,PASS,PASS,Priya S.
MCR-0025,BCH-2022-0025,Jackfruit Chips,Line A,2022-02-22 00:00:00,Feb-2022,Sagar A.,267.0,10000,PASS,364.0,500,PASS,5.6,10,PASS,PASS,Anand M.
MCR-0026,BCH-2022-0026,Okra Chips,Line B,2022-02-23 00:00:00,Feb-2022,Priya S.,7464.0,10000,PASS,379.0,500,PASS,4.7,10,PASS,PASS,Sagar A.
MCR-0027,BCH-2022-0027,  Roasted Corn ,Line C,2022-02-26 00:00:00,Feb-2022,Anand M.,4928.0,10000,PASS,5835.0,500,FAIL,4.7,10,PASS,FAIL,Divya N.
MCR-0028,BCH-2022-0028,Chickpea Snacks,Line D,2022-02-27 00:00:00,Feb-2022,Meena R.,3080.0,10000,PASS,226.0,500,PASS,3.3,10,PASS,PASS,Karthik V.
MCR-0029,BCH-2022-0029,Banana Chips,Line E,2022-02-28 00:00:00,Feb-2022,Karthik V.,4477.0,10000,PASS,59.0,500,PASS,,10,PASS,PASS,Meena R.
MCR-0030,BCH-2022-0030,Sweet Potato Chips,Line F,2022-03-01 00:00:00,Feb-2022,Divya N.,,10000,PASS,186.0,500,PASS,0.9,10,PASS,PASS,Suresh B.
MCR-0031,BCH-2022-0031,Masala Peanuts,Line A,2022-03-02 00:00:00,Mar-2022,Suresh B.,7662.0,10000,PASS,148.0,500,PASS,2.5,10,PASS,pass ,Ramesh K.
MCR-0032,BCH-2022-0032,Tapioca Crisps,Line B,2022-03-03 00:00:00,Mar-2022,Leena D.,7700.0,10000,PASS,211.0,500,PASS,3.5,10,PASS,PASS,Priya S.
MCR-0033,BCH-2022-0033,Jackfruit Chips,Line C,2022-03-05 00:00:00,Mar-2022,Sagar A.,4177.0,10000,PASS,301.0,500,PASS,4.9,10,PASS,PASSS,Anand M.
MCR-0034,BCH-2022-0034,Okra Chips,Line D,2022-03-06 00:00:00,Mar-2022,Priya S.,58836.0,10000,FAIL,,500,PASS,,10,PASS,FAIL,Sagar A.
MCR-0035,BCH-2022-0035,Roasted Corn,Line E,2022-03-07 00:00:00,Mar-2022,Anand M.,-999.0,10000,PASS,73.0,500,PASS,4.6,10,PASS,PASSS,Divya N.
MCR-0036,BCH-2022-0036,Chickpea Snacks,Line F,2022-03-14 00:00:00,Mar-2022,Meena R.,4609.0,10000,PASS,338.0,500,PASS,3.5,10,PASS,PASS,Karthik V.
MCR-0037,BCH-2022-0037,Banana Chips,Line A,2022-03-15 00:00:00,Mar-2022,Karthik V.,3366.0,10000,PASS,54.0,500,PASS,2.3,10,PASS,PASS,Meena R.
MCR-0038,BCH-2022-0038,Sweet Potato Chips,Line B,2022-03-16 00:00:00,Mar-2022,Divya N.,3035.0,10000,PASS,50.0,500,PASS,2.6,10,PASS,PASS,Suresh B.
MCR-0039,BCH-2022-0039,Masala Peanuts,Line C,2022-03-18 00:00:00,Mar-2022,Suresh B.,3391.0,10000,PASS,,500,PASS,5.1,10,PASS,PASS,Ramesh K.
MCR-0040,BCH-2022-0040,Tapioca Crisps,Line D,2022-03-19 00:00:00,Mar-2022,Leena D.,4417.0,10000,PASS,305.0,500,PASS,2.1,10,PASS,PASS,Priya S.
MCR-0041,BCH-2022-0041,Jackfruit Chips,Line E,2022-03-21 00:00:00,Mar-2022,Sagar A.,6943.0,10000,PASS,3133.0,500,FAIL,2.7,10,PASS,FAIL,Anand M.
MCR-0042,BCH-2022-0042,Okra Chips,Line F,2022-03-22 00:00:00,Mar-2022,Priya S.,4350.0,10000,PASS,45.0,500,PASS,6.2,10,PASS,PASS,Sagar A.
MCR-0043,BCH-2022-0043,Roasted Corn,Line A,2022-03-23 00:00:00,Mar-2022,Anand M.,,10000,PASS,121.0,500,PASS,4.1,10,PASS,PASS,Divya N.
MCR-0044,BCH-2022-0044,Chickpea Snacks,Line B,2022-03-25 00:00:00,Mar-2022,Meena R.,7436.0,10000,PASS,334.0,500,PASS,5.1,10,PASS,PASS,Karthik V.
MCR-0045,BCH-2022-0045,Banana Chips,Line C,2022-03-26 00:00:00,Mar-2022,Karthik V.,4467.0,10000,PASS,357.0,500,PASS,6.1,10,PASS,PASS,Meena R.
MCR-0046,BCH-2022-0046,Sweet Potato Chips,Line D,2022-03-28 00:00:00,Mar-2022,Divya N.,1159.0,10000,PASS,295.0,500,PASS,5.7,10,PASS,PASS,Suresh B.
MCR-0047,BCH-2022-0047,Masala Peanuts,Line E,2022-03-30 00:00:00,Mar-2022,Suresh B.,2439.0,10000,PASS,1170.0,500,FAIL,6.7,10,PASS,FAIL,Ramesh K.
MCR-0048,BCH-2022-0048,Tapioca Crisps,Line F,2022-03-31 00:00:00,Mar-2022,Leena D.,3432.0,10000,PASS,297.0,500,PASS,4.1,10,PASS,PASS,Priya S.
MCR-0049,BCH-2022-0049,Jackfruit Chips,Line A,2022-04-02 00:00:00,Apr-2022,Sagar A.,2518.0,10000,PASS,279.0,500,PASS,1.4,10,PASS,PASS,Anand M.
MCR-0050,BCH-2022-0050,Okra Chips,Line B,2022-04-03 00:00:00,Apr-2022,Priya S.,2285.0,10000,PASS,304.0,500,PASS,0.6,10,PASS,PASS,Sagar A.
MCR-0051,BCH-2022-0051,Roasted Corn,Line C,2022-04-05 00:00:00,Apr-2022,Anand M.,4093.0,10000,PASS,,500,PASS,2.1,10,PASS,PAAS,Divya N.
MCR-0052,BCH-2022-0052,Chickpea Snacks,Line D,2022-04-08 00:00:00,Apr-2022,Meena R.,8462.0,10000,PASS,17.0,500,PASS,6.6,10,PASS,PASS,Karthik V.
MCR-0053,BCH-2022-0053,Banana Chips,Line E,2022-04-11 00:00:00,Apr-2022,Karthik V.,8109.0,10000,PASS,95.0,500,PASS,4.4,10,PASS,PASS,Meena R.
MCR-0054,BCH-2022-0054,Sweet Potato Chips,Line F,2022-04-12 00:00:00,Apr-2022,Divya N.,4201.0,10000,PASS,305.0,500,PASS,6.4,10,PASS,P ASS,Suresh B.
MCR-0055,BCH-2022-0055,Masala Peanuts,Line A,2022-04-13 00:00:00,Apr-2022,Suresh B.,7679.0,10000,PASS,181.0,500,PASS,2.7,10,PASS,PASS,Ramesh K.
MCR-0056,BCH-2022-0056,Tapioca Crisps,Line B,2022-04-14 00:00:00,Apr-2022,Leena D.,7183.0,10000,PASS,279.0,500,PASS,3.9,10,PASS,PASS,Priya S.
MCR-0057,BCH-2022-0057,Jackfruit Chips,Line C,2022-04-15 00:00:00,Apr-2022,Sagar A.,6311.0,10000,PASS,165.0,500,PASS,7.1,10,PASS,PASS,Anand M.
MCR-0058,BCH-2022-0058,Okra Chips,Line D,2022-04-16 00:00:00,Apr-2022,Priya S.,3729.0,10000,PASS,176.0,500,PASS,2.4,10,PASS,PASS,Sagar A.
MCR-0059,BCH-2022-0059,Roasted Corn,Line E,2022-04-17 00:00:00,Apr-2022,Anand M.,,10000,PASS,111.0,500,PASS,2.0,10,PASS,PASS,Divya N.
MCR-0060,BCH-2022-0060,Chickpea Snacks,Line F,2022-04-18 00:00:00,Apr-2022,Meena R.,3100.0,10000,PASS,367.0,500,PASS,2.2,10,PASS,PASS,Karthik V.
MCR-0061,BCH-2022-0061,Banana Chips,Line A,2022-04-19 00:00:00,Apr-2022,Karthik V.,2873.0,10000,PASS,115.0,500,PASS,5.1,10,PASS,PASS,Meena R.
MCR-0062,BCH-2022-0062,  Sweet Potato Chips ,Line B,2022-04-21 00:00:00,Apr-2022,Divya N.,41819.0,10000,FAIL,3753.0,500,FAIL,2.1,10,PASS,FAIL,Suresh B.
MCR-0063,BCH-2022-0063,  Masala Peanuts ,Line C,2022-04-22 00:00:00,Apr-2022,Suresh B.,1780.0,10000,PASS,261.0,500,PASS,2.3,10,PASS,PASS,Ramesh K.
MCR-0064,BCH-2022-0064,Tapioca Crisps,Line D,2022-04-23 00:00:00,Apr-2022,Leena D.,7463.0,10000,PASS,275.0,500,PASS,6.6,10,PASS,PASS,Priya S.
MCR-0065,BCH-2022-0065,Jackfruit Chips,Line E,2022-04-24 00:00:00,Apr-2022,Sagar A.,2680.0,10000,PASS,48.0,500,PASS,2.5,10,PASS,PASS,Anand M.
MCR-0066,BCH-2022-0066,Okra Chips,Line F,2022-04-25 00:00:00,Apr-2022,Priya S.,5250.0,10000,PASS,391.0,500,PASS,4.5,10,PASS,PASS,Sagar A.
MCR-0067,BCH-2022-0067,Roasted Corn,Line A,2022-04-26 00:00:00,Apr-2022,Anand M.,27874.0,10000,FAIL,38.0,500,PASS,2.5,10,PASS,FAIL,Divya N.
MCR-0068,BCH-2022-0068,  Chickpea Snacks ,Line B,2022-04-28 00:00:00,Apr-2022,Meena R.,8179.0,10000,PASS,185.0,500,PASS,5.8,10,PASS,PASS,Karthik V.
MCR-0069,BCH-2022-0069,Banana Chips,Line C,2022-04-29 00:00:00,Apr-2022,Karthik V.,4390.0,10000,PASS,18.0,500,PASS,1.6,10,PASS,PASS,Meena R.
MCR-0070,BCH-2022-0070,  Sweet Potato Chips ,Line D,2022-05-01 00:00:00,Apr-2022,Divya N.,23903.0,10000,FAIL,4252.0,500,FAIL,7.9,10,PASS,FAIL,Suresh B.
MCR-0071,BCH-2022-0071,  Masala Peanuts ,Line E,2022-05-02 00:00:00,May-2022,Suresh B.,6052.0,10000,PASS,347.0,500,PASS,0.7,10,PASS,PASS,Ramesh K.
MCR-0072,BCH-2022-0072,Tapioca Crisps,Line F,2022-05-03 00:00:00,May-2022,Leena D.,5993.0,10000,PASS,222.0,500,PASS,4.0,10,PASS,PASS,Priya S.
MCR-0073,BCH-2022-0073,Jackfruit Chips,Line A,2022-05-04 00:00:00,May-2022,Sagar A.,,10000,PASS,186.0,500,PASS,4.8,10,PASS,PASS,Anand M.
MCR-0074,BCH-2022-0074,Okra Chips,Line B,2022-05-05 00:00:00,May-2022,Priya S.,1470.0,10000,PASS,286.0,500,PASS,0.8,10,PASS,PASS,Sagar A.
MCR-0075,BCH-2022-0075,Roasted Corn,Line C,2022-05-06 00:00:00,May-2022,Anand M.,4623.0,10000,PASS,241.0,500,PASS,2.4,10,PASS,PASSS,Divya N.
MCR-0076,BCH-2022-0076,  Chickpea Snacks ,Line D,2022-05-07 00:00:00,May-2022,Meena R.,5659.0,10000,PASS,248.0,500,PASS,6.5,10,PASS,PASS,Karthik V.
MCR-0077,BCH-2022-0077,Banana Chips,Line E,2022-05-08 00:00:00,May-2022,Karthik V.,6892.0,10000,PASS,109.0,500,PASS,6.0,10,PASS,PASS,Meena R.
MCR-0078,BCH-2022-0078,Sweet Potato Chips,Line F,2022-05-09 00:00:00,May-2022,Divya N.,3799.0,10000,PASS,7.0,500,PASS,3.6,10,PASS,PASS,Suresh B.
MCR-0079,BCH-2022-0079,Masala Peanuts,Line A,2022-05-10 00:00:00,May-2022,Suresh B.,4427.0,10000,PASS,158.0,500,PASS,1.5,10,PASS,PASS,Ramesh K.
MCR-0080,BCH-2022-0080,Tapioca Crisps,Line B,2022-05-12 00:00:00,May-2022,Leena D.,5156.0,10000,PASS,82.0,500,PASS,5.4,10,PASS,PAAS,Priya S.
MCR-0081,BCH-2022-0081,  Jackfruit Chips ,Line C,2022-05-13 00:00:00,May-2022,Sagar A.,2630.0,10000,PASS,317.0,500,PASS,0.5,10,PASS,PASS,Anand M.
MCR-0082,BCH-2022-0082,Okra Chips,Line D,2022-05-14 00:00:00,May-2022,Priya S.,875.0,10000,PASS,184.0,500,PASS,0.9,10,PASS,PASS,Sagar A.
MCR-0083,BCH-2022-0083,Roasted Corn,Line E,2022-05-15 00:00:00,May-2022,Anand M.,458.0,10000,PASS,106.0,500,PASS,0.2,10,PASS,PASSS,Divya N.
MCR-0084,BCH-2022-0084,Chickpea Snacks,Line F,2022-05-16 00:00:00,May-2022,Meena R.,1172.0,10000,PASS,382.0,500,PASS,6.3,10,PASS,PASS,Karthik V.
MCR-0085,BCH-2022-0085,Banana Chips,Line A,2022-05-17 00:00:00,May-2022,Karthik V.,1936.0,10000,PASS,13.0,500,PASS,3.3,10,PASS,PASS,Meena R.
MCR-0086,BCH-2022-0086,Sweet Potato Chips,Line B,2022-05-19 00:00:00,May-2022,Divya N.,51465.0,10000,FAIL,53.0,500,PASS,7.0,10,PASS,FAIL,Suresh B.
MCR-0087,BCH-2022-0087,  Masala Peanuts ,Line C,2022-05-20 00:00:00,May-2022,Suresh B.,4811.0,10000,PASS,366.0,500,PASS,0.3,10,PASS,PASS,Ramesh K.
MCR-0088,BCH-2022-0088,Tapioca Crisps,Line D,2022-05-21 00:00:00,May-2022,Leena D.,3910.0,10000,PASS,417.0,500,PASS,0.9,10,PASS,PASS,Priya S.
MCR-0089,BCH-2022-0089,Jackfruit Chips,Line E,2022-05-22 00:00:00,May-2022,Sagar A.,1016.0,10000,PASS,197.0,500,PASS,0.8,10,PASS,PASS,Anand M.
MCR-0090,BCH-2022-0090,Okra Chips,Line F,2022-05-23 00:00:00,May-2022,Priya S.,-999.0,10000,PASS,,500,PASS,5.3,10,PASS,PASS,Sagar A.
MCR-0091,BCH-2022-0091,Roasted Corn,Line A,2022-05-24 00:00:00,May-2022,Anand M.,7104.0,10000,PASS,347.0,500,PASS,1.8,10,PASS,PASS,Divya N.
MCR-0092,BCH-2022-0092,Chickpea Snacks,Line B,2022-05-25 00:00:00,May-2022,Meena R.,6740.0,10000,PASS,42.0,500,PASS,6.6,10,PASS,PASS,Karthik V.
MCR-0093,BCH-2022-0093,Banana Chips,Line C,2022-05-27 00:00:00,May-2022,Karthik V.,6018.0,10000,PASS,65.0,500,PASS,3.0,10,PASS,PASS,Meena R.
MCR-0094,BCH-2022-0094,Sweet Potato Chips,Line D,2022-05-29 00:00:00,May-2022,Divya N.,4066.0,10000,PASS,1981.0,500,FAIL,6.7,10,PASS,FAIL,Suresh B.
MCR-0095,BCH-2022-0095,Masala Peanuts,Line E,2022-05-30 00:00:00,May-2022,Suresh B.,36877.0,10000,FAIL,45.0,500,PASS,2.1,10,PASS,FAILL,Ramesh K.
MCR-0096,BCH-2022-0096,Tapioca Crisps,Line F,2022-06-02 00:00:00,Jun-2022,Leena D.,1863.0,10000,PASS,240.0,500,PASS,4.7,10,PASS,pass ,Priya S.
MCR-0097,BCH-2022-0097,Jackfruit Chips,Line A,2022-06-03 00:00:00,Jun-2022,Sagar A.,51007.0,10000,FAIL,76.0,500,PASS,3.9,10,PASS,FAIL,Anand M.
MCR-0098,BCH-2022-0098,Okra Chips,Line B,2022-06-04 00:00:00,Jun-2022,Priya S.,2520.0,10000,PASS,28.0,500,PASS,1.9,10,PASS,PASS,Sagar A.
MCR-0099,BCH-2022-0099,Roasted Corn,Line C,2022-06-06 00:00:00,Jun-2022,Anand M.,,10000,PASS,135.0,500,PASS,5.1,10,PASS,PASS,Divya N.
MCR-0100,BCH-2022-0100,Chickpea Snacks,Line D,2022-06-07 00:00:00,Jun-2022,Meena R.,2430.0,10000,PASS,,500,PASS,4.3,10,PASS,PASSS,Karthik V.
MCR-0101,BCH-2022-0101,Banana Chips,Line E,2022-06-12 00:00:00,Jun-2022,Karthik V.,,10000,PASS,3288.0,500,FAIL,6.7,10,PASS,FAIL,Meena R.
MCR-0102,BCH-2022-0102,Sweet Potato Chips,Line F,2022-06-13 00:00:00,Jun-2022,Divya N.,6563.0,10000,PASS,490.0,500,PASS,5.9,10,PASS,PASS,Suresh B.
MCR-0103,BCH-2022-0103,Masala Peanuts,Line A,2022-06-15 00:00:00,Jun-2022,Suresh B.,3663.0,10000,PASS,311.0,500,PASS,6.9,10,PASS,PASS,Ramesh K.
MCR-0104,BCH-2022-0104,Tapioca Crisps,Line B,2022-06-17 00:00:00,Jun-2022,Leena D.,6088.0,10000,PASS,474.0,500,PASS,1.2,10,PASS,PASS,Priya S.
MCR-0105,BCH-2022-0105,Jackfruit Chips,Line C,2022-06-18 00:00:00,Jun-2022,Sagar A.,8376.0,10000,PASS,282.0,500,PASS,,10,PASS,PASS,Anand M.
MCR-0106,BCH-2022-0106,Okra Chips,Line D,2022-06-19 00:00:00,Jun-2022,Priya S.,6938.0,10000,PASS,61.0,500,PASS,4.8,10,PASS,PASS,Sagar A.
MCR-0107,BCH-2022-0107,Roasted Corn,Line E,2022-06-20 00:00:00,Jun-2022,Anand M.,1199.0,10000,PASS,33.0,500,PASS,,10,PASS,PASS,Divya N.
MCR-0108,BCH-2022-0108,  Chickpea Snacks ,Line F,2022-06-21 00:00:00,Jun-2022,Meena R.,1674.0,10000,PASS,331.0,500,PASS,0.7,10,PASS,PASS,Karthik V.
MCR-0109,BCH-2022-0109,  Banana Chips ,Line A,2022-06-23 00:00:00,Jun-2022,Karthik V.,7782.0,10000,PASS,267.0,500,PASS,1.2,10,PASS,PASS,Meena R.
MCR-0110,BCH-2022-0110,Sweet Potato Chips,Line B,2022-06-25 00:00:00,Jun-2022,Divya N.,2340.0,10000,PASS,66.0,500,PASS,29.9,10,FAIL,FAIL,Suresh B.
MCR-0111,BCH-2022-0111,Masala Peanuts,Line C,2022-06-27 00:00:00,Jun-2022,Suresh B.,1839.0,10000,PASS,23.0,500,PASS,0.3,10,PASS,PASS,Ramesh K.
MCR-0112,BCH-2022-0112,Tapioca Crisps,Line D,2022-06-28 00:00:00,Jun-2022,Leena D.,6346.0,10000,PASS,26.0,500,PASS,,10,PASS,P ASS,Priya S.
MCR-0113,BCH-2022-0113,Jackfruit Chips,Line E,2022-06-29 00:00:00,Jun-2022,Sagar A.,7547.0,10000,PASS,263.0,500,PASS,1.5,10,PASS,PASS,Anand M.
MCR-0114,BCH-2022-0114,Okra Chips,Line F,2022-07-02 00:00:00,Jul-2022,Priya S.,3586.0,10000,PASS,16.0,500,PASS,6.8,10,PASS,PASS,Sagar A.
MCR-0115,BCH-2022-0115,Roasted Corn,Line A,2022-07-03 00:00:00,Jul-2022,Anand M.,1054.0,10000,PASS,26.0,500,PASS,6.7,10,PASS,PASS,Divya N.
MCR-0116,BCH-2022-0116,Chickpea Snacks,Line B,2022-07-05 00:00:00,Jul-2022,Meena R.,9355.0,10000,PASS,22.0,500,PASS,1.0,10,PASS,PASS,Karthik V.
MCR-0117,BCH-2022-0117,Banana Chips,Line C,2022-07-06 00:00:00,Jul-2022,Karthik V.,4882.0,10000,PASS,450.0,500,PASS,6.9,10,PASS,PASS,Meena R.
MCR-0118,BCH-2022-0118,Sweet Potato Chips,Line D,2022-07-07 00:00:00,Jul-2022,Divya N.,8235.0,10000,PASS,15.0,500,PASS,4.6,10,PASS,PASS,Suresh B.
MCR-0119,BCH-2022-0119,Masala Peanuts,Line E,2022-07-08 00:00:00,Jul-2022,Suresh B.,1008.0,10000,PASS,328.0,500,PASS,5.4,10,PASS,PASS,Ramesh K.
MCR-0120,BCH-2022-0120,Tapioca Crisps,Line F,2022-07-09 00:00:00,Jul-2022,Leena D.,23280.0,10000,FAIL,44.0,500,PASS,1.1,10,PASS,FAIL,Priya S.
MCR-0121,BCH-2022-0121,  Jackfruit Chips ,Line A,2022-07-10 00:00:00,Jul-2022,Sagar A.,7582.0,10000,PASS,470.0,500,PASS,2.8,10,PASS,PASS,Anand M.
MCR-0122,BCH-2022-0122,  Okra Chips ,Line B,2022-07-15 00:00:00,Jul-2022,Priya S.,49580.0,10000,FAIL,1209.0,500,FAIL,4.5,10,PASS,FAIL,Sagar A.
MCR-0123,BCH-2022-0123,Roasted Corn,Line C,2022-07-16 00:00:00,Jul-2022,Anand M.,2221.0,10000,PASS,2128.0,500,FAIL,0.8,10,PASS,FAIL,Divya N.
MCR-0124,BCH-2022-0124,Chickpea Snacks,Line D,2022-07-17 00:00:00,Jul-2022,Meena R.,8246.0,10000,PASS,219.0,500,PASS,5.2,10,PASS,PASS,Karthik V.
MCR-0125,BCH-2022-0125,Banana Chips,Line E,2022-07-18 00:00:00,Jul-2022,Karthik V.,3022.0,10000,PASS,110.0,500,PASS,16.4,10,FAIL,FAIL,Meena R.
MCR-0126,BCH-2022-0126,Sweet Potato Chips,Line F,2022-07-19 00:00:00,Jul-2022,Divya N.,4212.0,10000,PASS,341.0,500,PASS,4.1,10,PASS,PASS,Suresh B.
MCR-0127,BCH-2022-0127,Masala Peanuts,Line A,2022-07-20 00:00:00,Jul-2022,Suresh B.,1825.0,10000,PASS,217.0,500,PASS,1.1,10,PASS,PASS,Ramesh K.
MCR-0128,BCH-2022-0128,Tapioca Crisps,Line B,2022-07-21 00:00:00,Jul-2022,Leena D.,3941.0,10000,PASS,49.0,500,PASS,3.3,10,PASS,PASS,Priya S.
MCR-0129,BCH-2022-0129,Jackfruit Chips,Line C,2022-07-23 00:00:00,Jul-2022,Sagar A.,,10000,PASS,375.0,500,PASS,6.2,10,PASS,PASS,Anand M.
MCR-0130,BCH-2022-0130,Okra Chips,Line D,2022-07-28 00:00:00,Jul-2022,Priya S.,988.0,10000,PASS,482.0,500,PASS,3.0,10,PASS,PASS,Sagar A.
MCR-0131,BCH-2022-0131,Roasted Corn,Line E,2022-08-02 00:00:00,Aug-2022,Anand M.,3289.0,10000,PASS,305.0,500,PASS,5.3,10,PASS,PASS,Divya N.
MCR-0132,BCH-2022-0132,Chickpea Snacks,Line F,2022-08-05 00:00:00,Aug-2022,Meena R.,7140.0,10000,PASS,176.0,500,PASS,6.7,10,PASS,PASS,Karthik V.
MCR-0133,BCH-2022-0133,Banana Chips,Line A,2022-08-06 00:00:00,Aug-2022,Karthik V.,256.0,10000,PASS,378.0,500,PASS,,10,PASS,PASS,Meena R.
MCR-0134,BCH-2022-0134,Sweet Potato Chips,Line B,2022-08-09 00:00:00,Aug-2022,Divya N.,14167.0,10000,FAIL,151.0,500,PASS,4.3,10,PASS,FAIL,Suresh B.
MCR-0135,BCH-2022-0135,Masala Peanuts,Line C,2022-08-10 00:00:00,Aug-2022,Suresh B.,6468.0,10000,PASS,480.0,500,PASS,6.0,10,PASS,PAAS,Ramesh K.
MCR-0136,BCH-2022-0136,Tapioca Crisps,Line D,2022-08-12 00:00:00,Aug-2022,Leena D.,9408.0,10000,PASS,52.0,500,PASS,2.7,10,PASS,PASS,Priya S.
MCR-0137,BCH-2022-0137,Jackfruit Chips,Line E,2022-08-13 00:00:00,Aug-2022,Sagar A.,-999.0,10000,PASS,203.0,500,PASS,3.3,10,PASS,PASSS,Anand M.
MCR-0138,BCH-2022-0138,Okra Chips,Line F,2022-08-14 00:00:00,Aug-2022,Priya S.,9055.0,10000,PASS,185.0,500,PASS,5.0,10,PASS,PASS,Sagar A.
MCR-0139,BCH-2022-0139,Roasted Corn,Line A,2022-08-15 00:00:00,Aug-2022,Anand M.,8783.0,10000,PASS,229.0,500,PASS,4.2,10,PASS,PASS,Divya N.
