PC_Test_ID,Batch_ID,Product,Production_Line,Test_Date,Month_Year,Analyst,pH_Value,pH_Min,pH_Max,pH_Result,Moisture_Pct,Moisture_Limit,Moisture_Result,Purity_Pct,Purity_Min,Purity_Result,Overall_Status
PHY-0033,BCH-2022-0033,Jackfruit Chips,Line C,2022-03-05 00:00:00,Mar-2022,Priya S.,4.65,4.5,6.5,PASS,3.11,3.5,PASS,97.1,92,PASS,PASS
PHY-0034,BCH-2022-0034,Okra Chips,Line D,2022-03-06 00:00:00,Mar-2022,Anand M.,5.56,4.5,6.5,PASS,1.4,3.5,PASS,82.9,92,FAIL,FAIL
PHY-0035,BCH-2022-0035,Roasted Corn,Line E,2022-03-07 00:00:00,Mar-2022,Meena R.,5.74,4.5,6.5,PASS,1.16,3.5,PASS,94.8,92,PASS,PASS
PHY-0036,BCH-2022-0036,Chickpea Snacks,Line F,2022-03-14 00:00:00,Mar-2022,Karthik V.,4.75,4.5,6.5,PASS,2.79,3.5,PASS,98.4,92,PASS,PASS
PHY-0037,BCH-2022-0037,Banana Chips,Line A,2022-03-15 00:00:00,Mar-2022,Divya N.,5.67,4.5,6.5,PASS,1.28,3.5,PASS,92.5,92,PASS,PASS
PHY-0038,BCH-2022-0038,Sweet Potato Chips,Line B,2022-03-16 00:00:00,Mar-2022,Suresh B.,5.86,4.5,6.5,PASS,1.72,3.5,PASS,93.4,92,PASS,PASS
PHY-0039,BCH-2022-0039,Masala Peanuts,Line C,2022-03-18 00:00:00,Mar-2022,Leena D.,5.32,4.5,6.5,PASS,1.48,3.5,PASS,98.1,92,PASS,PASS
PHY-0040,BCH-2022-0040,Tapioca Crisps,Line D,2022-03-19 00:00:00,Mar-2022,Sagar A.,5.41,4.5,6.5,PASS,1.84,3.5,PASS,96.4,92,PASS,PASS
PHY-0041,BCH-2022-0041,Jackfruit Chips,Line E,2022-03-21 00:00:00,Mar-2022,Priya S.,3.14,4.5,6.5,FAIL,3.93,3.5,FAIL,93.5,92,PASS,FAIL
PHY-0042,BCH-2022-0042,Okra Chips,Line F,2022-03-22 00:00:00,Mar-2022,Anand M.,5.69,4.5,6.5,PASS,1.34,3.5,PASS,94.6,92,PASS,PASS
PHY-0043,BCH-2022-0043,Roasted Corn,Line A,2022-03-23 00:00:00,Mar-2022,Meena R.,6.0,4.5,6.5,PASS,2.83,3.5,PASS,97.9,92,PASS,PASS
PHY-0044,BCH-2022-0044,Chickpea Snacks,Line B,2022-03-25 00:00:00,Mar-2022,Karthik V.,4.74,4.5,6.5,PASS,1.76,3.5,PASS,93.1,92,PASS,PASS
PHY-0045,BCH-2022-0045,Banana Chips,Line C,2022-03-26 00:00:00,Mar-2022,Divya N.,5.22,4.5,6.5,PASS,0.92,3.5,PASS,97.9,92,PASS,PASS
PHY-0046,BCH-2022-0046,Sweet Potato Chips,Line D,2022-03-28 00:00:00,Mar-2022,Suresh B.,6.22,4.5,6.5,PASS,1.74,3.5,PASS,93.2,92,PASS,PASS
PHY-0047,BCH-2022-0047,Masala Peanuts,Line E,2022-03-30 00:00:00,Mar-2022,Leena D.,3.83,4.5,6.5,FAIL,3.25,3.5,PASS,97.0,92,PASS,FAIL
PHY-0048,BCH-2022-0048,Tapioca Crisps,Line F,2022-03-31 00:00:00,Mar-2022,Sagar A.,5.75,4.5,6.5,PASS,1.98,3.5,PASS,98.8,92,PASS,PASS
PHY-0049,BCH-2022-0049,Jackfruit Chips,Line A,2022-04-02 00:00:00,Apr-2022,Priya S.,5.43,4.5,6.5,PASS,1.67,3.5,PASS,93.7,92,PASS,PASS
PHY-0050,BCH-2022-0050,Okra Chips,Line B,2022-04-03 00:00:00,Apr-2022,Anand M.,5.4,4.5,6.5,PASS,2.97,3.5,PASS,95.0,92,PASS,PASS
PHY-0051,BCH-2022-0051,Roasted Corn,Line C,2022-04-05 00:00:00,Apr-2022,Meena R.,4.64,4.5,6.5,PASS,1.52,3.5,PASS,97.6,92,PASS,PASS
PHY-0052,BCH-2022-0052,Chickpea Snacks,Line D,2022-04-08 00:00:00,Apr-2022,Karthik V.,6.27,4.5,6.5,PASS,1.08,3.5,PASS,94.2,92,PASS,PASS
PHY-0053,BCH-2022-0053,Banana Chips,Line E,2022-04-11 00:00:00,Apr-2022,Divya N.,5.67,4.5,6.5,PASS,3.09,3.5,PASS,93.7,92,PASS,PASS
PHY-0054,BCH-2022-0054,Sweet Potato Chips,Line F,2022-04-12 00:00:00,Apr-2022,Suresh B.,4.81,4.5,6.5,PASS,1.83,3.5,PASS,96.4,92,PASS,PASS
PHY-0055,BCH-2022-0055,Masala Peanuts,Line A,2022-04-13 00:00:00,Apr-2022,Leena D.,5.21,4.5,6.5,PASS,2.39,3.5,PASS,93.7,92,PASS,PASS
PHY-0056,BCH-2022-0056,Tapioca Crisps,Line B,2022-04-14 00:00:00,Apr-2022,Sagar A.,5.03,4.5,6.5,PASS,1.04,3.5,PASS,98.6,92,PASS,PASS
PHY-0057,BCH-2022-0057,Jackfruit Chips,Line C,2022-04-15 00:00:00,Apr-2022,Priya S.,5.5,4.5,6.5,PASS,2.61,3.5,PASS,93.7,92,PASS,PASS
PHY-0058,BCH-2022-0058,Okra Chips,Line D,2022-04-16 00:00:00,Apr-2022,Anand M.,5.42,4.5,6.5,PASS,2.73,3.5,PASS,93.8,92,PASS,PASS
PHY-0059,BCH-2022-0059,Roasted Corn,Line E,2022-04-17 00:00:00,Apr-2022,Meena R.,4.83,4.5,6.5,PASS,3.24,3.5,PASS,98.9,92,PASS,PASS
PHY-0060,BCH-2022-0060,Chickpea Snacks,Line F,2022-04-18 00:00:00,Apr-2022,Karthik V.,6.2,4.5,6.5,PASS,1.49,3.5,PASS,93.2,92,PASS,PASS
PHY-0061,BCH-2022-0061,Banana Chips,Line A,2022-04-19 00:00:00,Apr-2022,Divya N.,5.72,4.5,6.5,PASS,1.01,3.5,PASS,93.1,92,PASS,PASS
PHY-0062,BCH-2022-0062,Sweet Potato Chips,Line B,2022-04-21 00:00:00,Apr-2022,Suresh B.,3.62,4.5,6.5,FAIL,2.51,3.5,PASS,96.0,92,PASS,FAIL
PHY-0063,BCH-2022-0063,Masala Peanuts,Line C,2022-04-22 00:00:00,Apr-2022,Leena D.,4.56,4.5,6.5,PASS,2.03,3.5,PASS,95.4,92,PASS,PASS
PHY-0064,BCH-2022-0064,Tapioca Crisps,Line D,2022-04-23 00:00:00,Apr-2022,Sagar A.,4.92,4.5,6.5,PASS,1.33,3.5,PASS,93.5,92,PASS,PASS
PHY-0065,BCH-2022-0065,Jackfruit Chips,Line E,2022-04-24 00:00:00,Apr-2022,Priya S.,5.84,4.5,6.5,PASS,2.39,3.5,PASS,94.6,92,PASS,PASS
PHY-0066,BCH-2022-0066,Okra Chips,Line F,2022-04-25 00:00:00,Apr-2022,Anand M.,5.14,4.5,6.5,PASS,2.96,3.5,PASS,92.2,92,PASS,PASS
PHY-0067,BCH-2022-0067,Roasted Corn,Line A,2022-04-26 00:00:00,Apr-2022,Meena R.,4.29,4.5,6.5,FAIL,1.88,3.5,PASS,92.6,92,PASS,FAIL
PHY-0068,BCH-2022-0068,Chickpea Snacks,Line B,2022-04-28 00:00:00,Apr-2022,Karthik V.,6.07,4.5,6.5,PASS,2.0,3.5,PASS,97.4,92,PASS,PASS
PHY-0069,BCH-2022-0069,Banana Chips,Line C,2022-04-29 00:00:00,Apr-2022,Divya N.,4.69,4.5,6.5,PASS,3.13,3.5,PASS,97.3,92,PASS,PASS
PHY-0070,BCH-2022-0070,Sweet Potato Chips,Line D,2022-05-01 00:00:00,Apr-2022,Suresh B.,4.67,4.5,6.5,PASS,7.86,3.5,FAIL,94.3,92,PASS,FAIL
PHY-0071,BCH-2022-0071,Masala Peanuts,Line E,2022-05-02 00:00:00,May-2022,Leena D.,5.93,4.5,6.5,PASS,1.98,3.5,PASS,99.0,92,PASS,PASS
PHY-0072,BCH-2022-0072,Tapioca Crisps,Line F,2022-05-03 00:00:00,May-2022,Sagar A.,6.03,4.5,6.5,PASS,2.55,3.5,PASS,92.2,92,PASS,PASS
PHY-0073,BCH-2022-0073,Jackfruit Chips,Line A,2022-05-04 00:00:00,May-2022,Priya S.,5.9,4.5,6.5,PASS,2.49,3.5,PASS,93.9,92,PASS,PASS
PHY-0074,BCH-2022-0074,Okra Chips,Line B,2022-05-05 00:00:00,May-2022,Anand M.,4.94,4.5,6.5,PASS,1.68,3.5,PASS,93.7,92,PASS,PASS
PHY-0075,BCH-2022-0075,Roasted Corn,Line C,2022-05-06 00:00:00,May-2022,Meena R.,4.72,4.5,6.5,PASS,2.31,3.5,PASS,95.4,92,PASS,PASS
PHY-0076,BCH-2022-0076,Chickpea Snacks,Line D,2022-05-07 00:00:00,May-2022,Karthik V.,4.83,4.5,6.5,PASS,1.14,3.5,PASS,93.5,92,PASS,PASS
PHY-0077,BCH-2022-0077,Banana Chips,Line E,2022-05-08 00:00:00,May-2022,Divya N.,6.3,4.5,6.5,PASS,2.1,3.5,PASS,92.6,92,PASS,PASS
PHY-0078,BCH-2022-0078,Sweet Potato Chips,Line F,2022-05-09 00:00:00,May-2022,Suresh B.,6.34,4.5,6.5,PASS,3.15,3.5,PASS,95.4,92,PASS,PASS
PHY-0079,BCH-2022-0079,Masala Peanuts,Line A,2022-05-10 00:00:00,May-2022,Leena D.,5.73,4.5,6.5,PASS,2.87,3.5,PASS,98.2,92,PASS,PASS
PHY-0080,BCH-2022-0080,Tapioca Crisps,Line B,2022-05-12 00:00:00,May-2022,Sagar A.,5.0,4.5,6.5,PASS,2.53,3.5,PASS,92.8,92,PASS,PASS
PHY-0081,BCH-2022-0081,Jackfruit Chips,Line C,2022-05-13 00:00:00,May-2022,Priya S.,6.09,4.5,6.5,PASS,2.02,3.5,PASS,95.0,92,PASS,PASS
PHY-0082,BCH-2022-0082,Okra Chips,Line D,2022-05-14 00:00:00,May-2022,Anand M.,5.09,4.5,6.5,PASS,2.32,3.5,PASS,93.3,92,PASS,PASS
PHY-0083,BCH-2022-0083,Roasted Corn,Line E,2022-05-15 00:00:00,May-2022,Meena R.,4.74,4.5,6.5,PASS,2.24,3.5,PASS,93.2,92,PASS,PASS
PHY-0084,BCH-2022-0084,Chickpea Snacks,Line F,2022-05-16 00:00:00,May-2022,Karthik V.,6.02,4.5,6.5,PASS,2.73,3.5,PASS,92.7,92,PASS,PASS
PHY-0085,BCH-2022-0085,Banana Chips,Line A,2022-05-17 00:00:00,May-2022,Divya N.,6.23,4.5,6.5,PASS,2.53,3.5,PASS,95.8,92,PASS,PASS
PHY-0086,BCH-2022-0086,Sweet Potato Chips,Line B,2022-05-19 00:00:00,May-2022,Suresh B.,4.03,4.5,6.5,FAIL,1.32,3.5,PASS,93.5,92,PASS,FAIL
PHY-0087,BCH-2022-0087,Masala Peanuts,Line C,2022-05-20 00:00:00,May-2022,Leena D.,6.28,4.5,6.5,PASS,3.3,3.5,PASS,98.1,92,PASS,PASS
PHY-0088,BCH-2022-0088,Tapioca Crisps,Line D,2022-05-21 00:00:00,May-2022,Sagar A.,5.2,4.5,6.5,PASS,2.75,3.5,PASS,94.0,92,PASS,PASS
PHY-0089,BCH-2022-0089,Jackfruit Chips,Line E,2022-05-22 00:00:00,May-2022,Priya S.,5.29,4.5,6.5,PASS,2.14,3.5,PASS,93.8,92,PASS,PASS
PHY-0090,BCH-2022-0090,Okra Chips,Line F,2022-05-23 00:00:00,May-2022,Anand M.,4.71,4.5,6.5,PASS,2.05,3.5,PASS,94.8,92,PASS,PASS
PHY-0091,BCH-2022-0091,Roasted Corn,Line A,2022-05-24 00:00:00,May-2022,Meena R.,5.14,4.5,6.5,PASS,2.07,3.5,PASS,97.6,92,PASS,PASS
PHY-0092,BCH-2022-0092,Chickpea Snacks,Line B,2022-05-25 00:00:00,May-2022,Karthik V.,5.19,4.5,6.5,PASS,1.88,3.5,PASS,96.7,92,PASS,PASS
PHY-0093,BCH-2022-0093,Banana Chips,Line C,2022-05-27 00:00:00,May-2022,Divya N.,6.22,4.5,6.5,PASS,1.89,3.5,PASS,94.7,92,PASS,PASS
PHY-0094,BCH-2022-0094,Sweet Potato Chips,Line D,2022-05-29 00:00:00,May-2022,Suresh B.,3.64,4.5,6.5,FAIL,5.66,3.5,FAIL,98.2,92,PASS,FAIL
PHY-0095,BCH-2022-0095,Masala Peanuts,Line E,2022-05-30 00:00:00,May-2022,Leena D.,3.97,4.5,6.5,FAIL,2.04,3.5,PASS,92.5,92,PASS,FAIL
PHY-0096,BCH-2022-0096,Tapioca Crisps,Line F,2022-06-02 00:00:00,Jun-2022,Sagar A.,5.87,4.5,6.5,PASS,1.09,3.5,PASS,96.1,92,PASS,PASS
PHY-0097,BCH-2022-0097,Jackfruit Chips,Line A,2022-06-03 00:00:00,Jun-2022,Priya S.,5.83,4.5,6.5,PASS,1.81,3.5,PASS,86.9,92,FAIL,FAIL
PHY-0098,BCH-2022-0098,Okra Chips,Line B,2022-06-04 00:00:00,Jun-2022,Anand M.,5.23,4.5,6.5,PASS,2.66,3.5,PASS,98.5,92,PASS,PASS
PHY-0099,BCH-2022-0099,Roasted Corn,Line C,2022-06-06 00:00:00,Jun-2022,Meena R.,4.97,4.5,6.5,PASS,1.48,3.5,PASS,98.0,92,PASS,PASS
PHY-0100,BCH-2022-0100,Chickpea Snacks,Line D,2022-06-07 00:00:00,Jun-2022,Karthik V.,5.39,4.5,6.5,PASS,2.03,3.5,PASS,98.3,92,PASS,PASS
PHY-0101,BCH-2022-0101,Banana Chips,Line E,2022-06-12 00:00:00,Jun-2022,Divya N.,4.89,4.5,6.5,PASS,3.95,3.5,FAIL,96.8,92,PASS,FAIL
PHY-0102,BCH-2022-0102,Sweet Potato Chips,Line F,2022-06-13 00:00:00,Jun-2022,Suresh B.,5.32,4.5,6.5,PASS,2.4,3.5,PASS,99.0,92,PASS,PASS
PHY-0103,BCH-2022-0103,Masala Peanuts,Line A,2022-06-15 00:00:00,Jun-2022,Leena D.,6.33,4.5,6.5,PASS,3.4,3.5,PASS,95.5,92,PASS,PASS
PHY-0104,BCH-2022-0104,Tapioca Crisps,Line B,2022-06-17 00:00:00,Jun-2022,Sagar A.,5.08,4.5,6.5,PASS,2.83,3.5,PASS,99.0,92,PASS,PASS
PHY-0105,BCH-2022-0105,Jackfruit Chips,Line C,2022-06-18 00:00:00,Jun-2022,Priya S.,4.67,4.5,6.5,PASS,3.65,3.5,FAIL,94.5,92,PASS,FAIL
PHY-0106,BCH-2022-0106,Okra Chips,Line D,2022-06-19 00:00:00,Jun-2022,Anand M.,5.16,4.5,6.5,PASS,1.97,3.5,PASS,98.4,92,PASS,PASS
PHY-0107,BCH-2022-0107,Roasted Corn,Line E,2022-06-20 00:00:00,Jun-2022,Meena R.,4.8,4.5,6.5,PASS,2.04,3.5,PASS,94.6,92,PASS,PASS
PHY-0108,BCH-2022-0108,Chickpea Snacks,Line F,2022-06-21 00:00:00,Jun-2022,Karthik V.,6.05,4.5,6.5,PASS,2.84,3.5,PASS,98.9,92,PASS,PASS
PHY-0109,BCH-2022-0109,Banana Chips,Line A,2022-06-23 00:00:00,Jun-2022,Divya N.,6.36,4.5,6.5,PASS,1.92,3.5,PASS,95.0,92,PASS,PASS
PHY-0110,BCH-2022-0110,Sweet Potato Chips,Line B,2022-06-25 00:00:00,Jun-2022,Suresh B.,3.97,4.5,6.5,FAIL,1.16,3.5,PASS,97.8,92,PASS,FAIL
PHY-0111,BCH-2022-0111,Masala Peanuts,Line C,2022-06-27 00:00:00,Jun-2022,Leena D.,5.73,4.5,6.5,PASS,3.21,3.5,PASS,93.0,92,PASS,PASS
PHY-0112,BCH-2022-0112,Tapioca Crisps,Line D,2022-06-28 00:00:00,Jun-2022,Sagar A.,6.17,4.5,6.5,PASS,2.36,3.5,PASS,97.6,92,PASS,PASS
PHY-0113,BCH-2022-0113,Jackfruit Chips,Line E,2022-06-29 00:00:00,Jun-2022,Priya S.,6.06,4.5,6.5,PASS,2.44,3.5,PASS,97.8,92,PASS,PASS
PHY-0114,BCH-2022-0114,Okra Chips,Line F,2022-07-02 00:00:00,Jul-2022,Anand M.,5.74,4.5,6.5,PASS,3.25,3.5,PASS,94.6,92,PASS,PASS
PHY-0115,BCH-2022-0115,Roasted Corn,Line A,2022-07-03 00:00:00,Jul-2022,Meena R.,5.15,4.5,6.5,PASS,1.94,3.5,PASS,92.7,92,PASS,PASS
PHY-0116,BCH-2022-0116,Chickpea Snacks,Line B,2022-07-05 00:00:00,Jul-2022,Karthik V.,5.27,4.5,6.5,PASS,1.85,3.5,PASS,95.6,92,PASS,PASS
PHY-0117,BCH-2022-0117,Banana Chips,Line C,2022-07-06 00:00:00,Jul-2022,Divya N.,5.59,4.5,6.5,PASS,1.29,3.5,PASS,97.0,92,PASS,PASS
PHY-0118,BCH-2022-0118,Sweet Potato Chips,Line D,2022-07-07 00:00:00,Jul-2022,Suresh B.,5.43,4.5,6.5,PASS,3.44,3.5,PASS,95.1,92,PASS,PASS
PHY-0119,BCH-2022-0119,Masala Peanuts,Line E,2022-07-08 00:00:00,Jul-2022,Leena D.,5.52,4.5,6.5,PASS,1.49,3.5,PASS,92.5,92,PASS,PASS
PHY-0120,BCH-2022-0120,Tapioca Crisps,Line F,2022-07-09 00:00:00,Jul-2022,Sagar A.,3.93,4.5,6.5,FAIL,4.66,3.5,FAIL,95.6,92,PASS,FAIL
PHY-0121,BCH-2022-0121,Jackfruit Chips,Line A,2022-07-10 00:00:00,Jul-2022,Priya S.,4.87,4.5,6.5,PASS,1.75,3.5,PASS,96.7,92,PASS,PASS
PHY-0122,BCH-2022-0122,Okra Chips,Line B,2022-07-15 00:00:00,Jul-2022,Anand M.,5.88,4.5,6.5,PASS,5.81,3.5,FAIL,96.8,92,PASS,FAIL
PHY-0123,BCH-2022-0123,Roasted Corn,Line C,2022-07-16 00:00:00,Jul-2022,Meena R.,6.32,4.5,6.5,PASS,2.01,3.5,PASS,85.0,92,FAIL,FAIL
PHY-0124,BCH-2022-0124,Chickpea Snacks,Line D,2022-07-17 00:00:00,Jul-2022,Karthik V.,6.15,4.5,6.5,PASS,2.03,3.5,PASS,96.6,92,PASS,PASS
PHY-0125,BCH-2022-0125,Banana Chips,Line E,2022-07-18 00:00:00,Jul-2022,Divya N.,5.65,4.5,6.5,PASS,5.76,3.5,FAIL,94.4,92,PASS,FAIL
PHY-0126,BCH-2022-0126,Sweet Potato Chips,Line F,2022-07-19 00:00:00,Jul-2022,Suresh B.,5.24,4.5,6.5,PASS,3.4,3.5,PASS,95.9,92,PASS,PASS
PHY-0127,BCH-2022-0127,Masala Peanuts,Line A,2022-07-20 00:00:00,Jul-2022,Leena D.,5.88,4.5,6.5,PASS,1.4,3.5,PASS,95.3,92,PASS,PASS
PHY-0128,BCH-2022-0128,Tapioca Crisps,Line B,2022-07-21 00:00:00,Jul-2022,Sagar A.,5.27,4.5,6.5,PASS,2.45,3.5,PASS,92.3,92,PASS,PASS
PHY-0129,BCH-2022-0129,Jackfruit Chips,Line C,2022-07-23 00:00:00,Jul-2022,Priya S.,5.43,4.5,6.5,PASS,3.51,3.5,FAIL,98.4,92,PASS,FAIL
PHY-0130,BCH-2022-0130,Okra Chips,Line D,2022-07-28 00:00:00,Jul-2022,Anand M.,4.65,4.5,6.5,PASS,2.16,3.5,PASS,92.2,92,PASS,PASS
PHY-0131,BCH-2022-0131,Roasted Corn,Line E,2022-08-02 00:00:00,Aug-2022,Meena R.,5.09,4.5,6.5,PASS,1.97,3.5,PASS,94.9,92,PASS,PASS
PHY-0132,BCH-2022-0132,Chickpea Snacks,Line F,2022-08-05 00:00:00,Aug-2022,Karthik V.,5.43,4.5,6.5,PASS,1.79,3.5,PASS,93.8,92,PASS,PASS
PHY-0133,BCH-2022-0133,Banana Chips,Line A,2022-08-06 00:00:00,Aug-2022,Divya N.,6.02,4.5,6.5,PASS,1.58,3.5,PASS,97.7,92,PASS,PASS
PHY-0134,BCH-2022-0134,Sweet Potato Chips,Line B,2022-08-09 00:00:00,Aug-2022,Suresh B.,5.61,4.5,6.5,PASS,3.93,3.5,FAIL,92.8,92,PASS,FAIL
PHY-0135,BCH-2022-0135,Masala Peanuts,Line C,2022-08-10 00:00:00,Aug-2022,Leena D.,6.09,4.5,6.5,PASS,3.61,3.5,FAIL,92.2,92,PASS,FAIL
PHY-0136,BCH-2022-0136,Tapioca Crisps,Line D,2022-08-12 00:00:00,Aug-2022,Sagar A.,5.04,4.5,6.5,PASS,3.61,3.5,FAIL,93.4,92,PASS,FAIL
PHY-0137,BCH-2022-0137,Jackfruit Chips,Line E,2022-08-13 00:00:00,Aug-2022,Priya S.,4.72,4.5,6.5,PASS,3.51,3.5,FAIL,99.1,92,PASS,FAIL
PHY-0138,BCH-2022-0138,Okra Chips,Line F,2022-08-14 00:00:00,Aug-2022,Anand M.,6.03,4.5,6.5,PASS,3.43,3.5,PASS,94.9,92,PASS,PASS
PHY-0139,BCH-2022-0139,Roasted Corn,Line A,2022-08-15 00:00:00,Aug-2022,Meena R.,5.18,4.5,6.5,PASS,1.42,3.5,PASS,94.1,92,PASS,PASS
